user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
Jeff Howe,jeffphowe,63,124,187,Giants take Eli Apple at No. 10.,01:19:03,2016-04-29,2016-04-29,2016-04-29T01:19:03Z
Laurie Rosner,RosnerLaurie,63,7,70,Mrs Apple should be calles Mrs Melon https://t.co/VUKtNFCzI1,16:27:49,2016-04-28,2016-04-28,2016-04-28T16:27:49Z
Jackie Bouvier,jackiembouvier,62,34,96,"I'm so deluded, I actually reasoned with myself that an apple turnover and Smartfood count as servings of fruit and fiber.",09:37:43,2016-04-28,2016-04-28,2016-04-28T09:37:43Z
The Verge,verge,62,40,102,"Hey Siri, who's better: you or Alexa? https://t.co/WcnQvPRgKy https://t.co/oozQDqPXLU",10:30:06,2016-04-28,2016-04-28,2016-04-28T10:30:06Z
Saad,Saadk45,62,18,80,the bathrooms of Cary make me lose my apple tight🙄,17:51:41,2016-04-28,2016-04-28,2016-04-28T17:51:41Z
Mashable,mashable,60,67,127,Twitter is now a 'news' app in the Apple store https://t.co/FSGcRQAXaZ,20:03:52,2016-04-28,2016-04-28,2016-04-28T20:03:52Z
塗木莉緒,Re_nrk,59,9,68,"MANT始めました！
ここから飛べるので、フォローよろしくお願いします！！RT
◎iphone用：  https://t.co/XdOkikoUBO
◎Android用：  https://t.co/CFMdNiP5sy https://t.co/jUw9OJzKXC",14:02:18,2016-04-28,2016-04-28,2016-04-28T14:02:18Z
The Verge,verge,58,51,109,Apple may be working on a way to show friends your autocorrect mistakes https://t.co/B92L47QoaS https://t.co/mqZMaMo9EK,22:23:04,2016-04-28,2016-04-28,2016-04-28T22:23:04Z
Ralph Vacchiano,RVacchianoNYDN,58,75,133,It's going to be CB Eli Apple to the Giants ... most perfect name in the draft for the Giants' pick.,01:19:34,2016-04-29,2016-04-29,2016-04-29T01:19:34Z
春之助@フォロバ100%,Harunosuke2S,56,1,57,"決めろ！最速ドリフト！スマートフォン向けドリフトゲーム「ドリフトスピリッツ」好評配信中！#ドリフトスピリッツ 4月28日 https://t.co/rbC3TqB5Dq",14:37:51,2016-04-28,2016-04-28,2016-04-28T14:37:51Z
Douglas Kass,DougKass,55,20,75,"Peaks I See:
Smart Phones
Apple
Icahn
Activism
Buybacks 
Stock Prices
Autos
Housing
Confidence in Central Bankers
Hedge Funds",18:29:35,2016-04-28,2016-04-28,2016-04-28T18:29:35Z
