picture_url,repeats
http://pbs.twimg.com/media/ChKDFzHWIAARAO3.jpg,11
http://pbs.twimg.com/media/ChMdlCJWMAAvkGS.jpg,11
http://pbs.twimg.com/ext_tw_video_thumb/725544024942104576/pu/img/PzvlTRpYk3QBFipM.jpg,11
http://pbs.twimg.com/media/ChLAXUzU8AADVYt.jpg,11
http://pbs.twimg.com/media/ChHpfkuUoAArvfY.jpg,11
http://pbs.twimg.com/media/CgdQ-z-W4AAN8wn.jpg,11
http://pbs.twimg.com/media/CffSJekW4AEkuWL.jpg,11
http://pbs.twimg.com/media/ChJYvH-W4AIrwLz.jpg,11
http://pbs.twimg.com/media/ChJ_PGtWIAA5a38.jpg,11
http://pbs.twimg.com/media/ChI03xWUUAETXwI.jpg,11
http://pbs.twimg.com/media/ChLM-NiXEAATxM0.jpg,11
http://pbs.twimg.com/media/ChH1hMEU4AAE_h5.jpg,11
http://pbs.twimg.com/media/ChIHrKfXEAExctU.jpg,11
http://pbs.twimg.com/media/ChKPHQ0VEAAN60y.jpg,11
http://pbs.twimg.com/media/ChLDQK0UkAAe7Xh.jpg,11
http://pbs.twimg.com/media/Cg51IX-W4AAWGVU.jpg,11
http://pbs.twimg.com/media/Cg38vwcUkAAQwq_.jpg,11
http://pbs.twimg.com/media/ChLHRduUcAAwEHc.jpg,11
http://pbs.twimg.com/media/ChIn_EfWYAAWRWA.jpg,11
http://pbs.twimg.com/media/ChJzifAWUAAX8VW.jpg,11
http://pbs.twimg.com/media/Cg5OGUaUYAAqsV-.jpg,10
http://pbs.twimg.com/media/ChEdyT1VEAAbrVl.jpg,10
http://pbs.twimg.com/media/ChH17dmU8AAA-4T.jpg,10
http://pbs.twimg.com/media/ChHq93nXEAAaUli.jpg,10
http://pbs.twimg.com/media/ChJPZnvUgAEXE7W.jpg,10
http://pbs.twimg.com/media/ChHqDcOWgAAkdpe.jpg,10
http://pbs.twimg.com/media/ChJ3CulUUAAFdgK.jpg,10
http://pbs.twimg.com/media/ChKNrNEU4AESdNF.jpg,10
http://pbs.twimg.com/media/ChMbxRGWMAEy-cX.jpg,10
http://pbs.twimg.com/media/ChKbtXwWwAE5QTu.jpg,10
